dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
104.7,167.3,34.1,,75.0,1.0,3.0,4.0,5.0,1.0,,1,1,1,,5.708964958943978e-05,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,489998.9946,283503
,,,,85.0,2.0,4.0,2.0,5.0,1.0,6.0,1,1,1,,,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2046910.9938,283489
68.17,111.83,22.4,11.8,50.0,2.0,3.0,2.0,5.0,1.0,6.0,1,1,1,6.910068778242892e-05,0.0001311741869768142,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,186899.0039,269073
76.8,122.7,25.3,,55.0,2.0,4.0,2.0,6.0,1.0,,1,1,1,,0.00010611926107036131,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,494909.9957,283472
62.3,97.3,21.6,8.0,43.0,1.0,2.0,4.0,6.0,1.0,6.0,1,1,1,6.109917538719922e-05,0.0001649677735454379,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120148.9977,251608
76.7,122.8,27.1,18.7,55.0,2.0,3.0,3.0,6.0,1.0,,1,1,1,7.326196870596592e-05,0.00010617108833859234,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269999.0028,251526
113.15,190.09,39.47,43.5,85.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,5.123990331318389e-05,4.6492850201640645e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,734989.9956,283455
76.82,122.74,23.7,20.6,55.0,2.0,4.0,2.0,6.0,1.0,1.0,1,1,1,9.218461634689337e-05,0.00010605705861268799,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,719910.0029,283482
87.22,145.09,27.4,21.3,65.0,2.0,3.0,2.0,4.0,1.0,6.0,1,1,1,6.142928742642725e-05,7.902171246404256e-05,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,431909.9947,283464
,,,,85.0,2.0,3.0,4.0,5.0,1.0,6.0,1,1,1,,,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,719999.0045,283504
